,id,geometry,n_vehicles_home,n_vehicles_work,n_vehicles_poi,Etot_home_kWh,Etot_work_kWh,Etot_poi_kWh,E_per_vehicle_home_kWh,E_per_vehicle_work_kWh,E_per_vehicle_poi_kWh
12,3_2,"POLYGON ((38.81729282340483 8.921750434674623, 38.81727082471154 8.965870430390565, 38.77280491745652 8.965845782331586, 38.77283226928161 8.921725909816118, 38.81729282340483 8.921750434674623))",6,2,2,24.642825228947665,8.261039521677079,7.521205083900285,4.107137538157944,4.130519760838539,4.095638041142064
13,3_3,"POLYGON ((38.81727082471154 8.965870430390565, 38.817248713050745 9.009990321000249, 38.77277742517461 9.00996554971229, 38.77280491745652 8.965845782331586, 38.81727082471154 8.965870430390565))",18,44,22,67.96497087587416,195.74184300223718,88.2032232566488,3.7758317153263423,4.448678250050845,4.095638041142064
14,3_4,"POLYGON ((38.817248713050745 9.009990321000249, 38.81722648835572 9.054110106003897, 38.77274979235292 9.054085211458297, 38.77277742517461 9.00996554971229, 38.817248713050745 9.009990321000249))",28,39,22,99.0947006158411,157.25265627831342,88.2032232566488,3.539096450565754,4.0321193917516265,4.095638041142064
15,3_5,"POLYGON ((38.81722648835572 9.054110106003897, 38.81720415055939 9.098229784901982, 38.77272201890802 9.098204767069932, 38.77274979235292 9.054085211458297, 38.81722648835572 9.054110106003897))",5,2,2,21.69634404827576,6.940908300608245,6.837459167182077,4.3392688096551515,3.4704541503041226,4.095638041142064
16,4_1,"POLYGON ((38.86177005096534 8.87764944222271, 38.86175349089809 8.921769638995453, 38.81729282340483 8.921750434674623, 38.81731470919699 8.877630334352466, 38.86177005096534 8.87764944222271))",2,0,0,16.52844025668382,0.0,0.0,8.26422012834191,0.0,0.0
17,4_2,"POLYGON ((38.86175349089809 8.921769638995453, 38.86173684540325 8.96588973118419, 38.81727082471154 8.965870430390565, 38.81729282340483 8.921750434674623, 38.86175349089809 8.921769638995453))",0,0,1,2.7163070944304355,0.6828575620217038,4.786221417027455,0.0,0.0,4.095638041142064
18,4_3,"POLYGON ((38.86173684540325 8.96588973118419, 38.861720114430575 9.010009718288995, 38.817248713050745 9.009990321000249, 38.81727082471154 8.965870430390565, 38.86173684540325 8.96588973118419))",14,3,2,60.95044593279717,13.294571037091007,6.15371325046387,4.353603280914084,4.431523679030335,4.095638041142064
19,4_4,"POLYGON ((38.861720114430575 9.010009718288995, 38.8617032979296 9.054129599810205, 38.81722648835573 9.054110106003897, 38.817248713050745 9.009990321000249, 38.861720114430575 9.010009718288995))",31,11,16,134.15757536360755,50.18670013016027,63.58837025479332,4.3276637214066955,4.562427284560024,4.095638041142064
20,4_5,"POLYGON ((38.8617032979296 9.054129599810205, 38.86168639584955 9.098249375248413, 38.8172041505594 9.098229784901982, 38.81722648835573 9.054110106003897, 38.8617032979296 9.054129599810205))",1,0,0,4.998660873493592,0.0,0.0,4.998660873493592,0.0,0.0
21,5_2,"POLYGON ((38.90621424417376 8.92178352272129, 38.90620295192778 8.965903684654847, 38.86173684540325 8.96588973118419, 38.86175349089809 8.921769638995453, 38.90621424417376 8.92178352272129))",0,0,0,3.632681682001161,0.41671376266735627,0.0,0.0,0.0,0.0
22,5_3,"POLYGON ((38.90620295192778 8.965903684654847, 38.90619160169394 9.010023741520614, 38.861720114430575 9.010009718288995, 38.86173684540325 8.96588973118419, 38.90620295192778 8.965903684654847))",3,0,0,16.660180262031783,0.5120076605800314,0.0,5.553393420677261,0.0,0.0
23,5_4,"POLYGON ((38.90619160169394 9.010023741520614, 38.906180193437976 9.054143692819013, 38.8617032979296 9.054129599810205, 38.861720114430575 9.010009718288995, 38.90619160169394 9.010023741520614))",11,3,7,60.33226730094769,14.585090247118032,28.717328502164726,5.484751572813426,4.861696749039344,4.095638041142064
