,id,geometric_center,geometry,area_km2,n_people,n_workplaces,n_pois
10,3_0,"(8.855558735117963, 38.795099305927884)","POLYGON ((38.81733648215402 8.833510129924381, 38.81731470919699 8.877630334352466, 38.7728594807324 8.877605932666073, 38.77288655189096 8.833485851381887, 38.81733648215402 8.833510129924381))",23.842237898084555,74183.16,16,8
11,3_1,"(8.899678829316429, 38.79507482058822)","POLYGON ((38.81731470919699 8.877630334352466, 38.81729282340483 8.921750434674623, 38.77283226928161 8.921725909816118, 38.7728594807324 8.877605932666073, 38.81731470919699 8.877630334352466))",23.842237898084555,66668.734,18,42
12,3_2,"(8.943798819145417, 38.795050208647844)","POLYGON ((38.81729282340483 8.921750434674623, 38.81727082471154 8.965870430390565, 38.77280491745652 8.965845782331586, 38.77283226928161 8.921725909816118, 38.81729282340483 8.921750434674623))",23.842237898084555,67098.71,9,11
13,3_3,"(8.987918704104686, 38.795025470032535)","POLYGON ((38.81727082471154 8.965870430390565, 38.81724871305074 9.009990321000249, 38.77277742517461 9.009965549712289, 38.77280491745652 8.965845782331586, 38.81727082471154 8.965870430390565))",23.842237898084555,203226.27,179,129
14,3_4,"(9.032038483694263, 38.79500060466765)","POLYGON ((38.81724871305074 9.009990321000249, 38.81722648835572 9.054110106003897, 38.77274979235292 9.054085211458297, 38.77277742517461 9.009965549712289, 38.81724871305074 9.009990321000249))",23.842237898084555,311199.25,146,129
15,3_5,"(9.076158157414419, 38.79497561247812)","POLYGON ((38.81722648835572 9.054110106003897, 38.81720415055939 9.098229784901982, 38.77272201890802 9.098204767069932, 38.77274979235292 9.054085211458297, 38.81722648835572 9.054110106003897))",23.842237898084555,52970.156,8,10
16,4_1,"(8.899700639005408, 38.83953276856483)","POLYGON ((38.86177005096534 8.87764944222271, 38.86175349089809 8.921769638995453, 38.81729282340483 8.921750434674623, 38.81731470919699 8.877630334352466, 38.86177005096534 8.87764944222271))",23.842237898084555,28926.809,0,0
17,4_2,"(8.943820738658411, 38.839513496052916)","POLYGON ((38.86175349089809 8.921769638995453, 38.86173684540325 8.965889731184189, 38.81727082471154 8.965870430390565, 38.81729282340483 8.921750434674623, 38.86175349089809 8.921769638995453))",23.842237898084555,4686.6553,1,7
18,4_3,"(8.987940733467047, 38.83949412434749)","POLYGON ((38.86173684540325 8.965889731184189, 38.86172011443058 9.010009718288995, 38.81724871305074 9.009990321000249, 38.81727082471154 8.965870430390565, 38.86173684540325 8.965889731184189))",23.842237898084555,159286.25,17,9
19,4_4,"(9.032060622931477, 38.8394746533901)","POLYGON ((38.86172011443058 9.010009718288995, 38.8617032979296 9.054129599810205, 38.81722648835573 9.054110106003897, 38.81724871305074 9.009990321000249, 38.86172011443058 9.010009718288995))",23.842237898084555,337861.12,72,93
