Daily Demand (kWh),Probability (60 kWh),Std Dev (60 kWh),Probability (15 kWh),Std Dev (15 kWh)
5.313131313131313,0.2719699768684123,0.23868767415516948,0.8802343395442205,0.13884790804176467
5.383838383838384,0.27618648462569184,0.23936031167971478,0.886547231226811,0.13510687344532973
5.454545454545454,0.27880827635614025,0.2381362208509533,0.8910368463040024,0.13261466249860698
5.525252525252525,0.28220406291575423,0.2392668221450105,0.89607934794979,0.12940175710318347
5.595959595959596,0.2865174674876811,0.23974165980106013,0.9011129525701012,0.1261977535727929
5.666666666666666,0.2904880217178624,0.2421012943667306,0.9049257205523714,0.12355295626560388
5.737373737373737,0.2928561423829099,0.24046499565328933,0.9111896507614102,0.11910616098538974
5.808080808080808,0.2971176243592607,0.24111271685346813,0.915877400719266,0.11602159414253017
5.878787878787879,0.30095928609414396,0.24244682754008598,0.9210145782224517,0.11229185700273538
5.949494949494949,0.30309671518269554,0.24166921607902175,0.9231603203136646,0.11066244252487022
