Origin,Destination,Flow,Travel Time (min),Travel Distance (km),Centroid Distance (km)
0_3,4_0,1.5432513735169873,69.52037715544954,34.76018857772477,21.325269066088815
0_3,4_1,0.0,59.47055187939457,29.735275939697285,18.242500576501403
0_3,4_2,2.309086497255791,52.51966565467893,26.259832827339466,16.110326887938324
0_3,4_3,46.24395301305968,49.978004234874184,24.989002117437092,15.330676145666928
0_3,4_4,169.00340397736343,52.490144556770524,26.245072278385262,16.101271336432678
0_3,4_5,0.0,59.418601845920115,29.709300922960058,18.22656498341108
0_3,5_0,0.0,78.9981745058527,39.49908725292635,24.232568866825982
0_3,5_1,0.0,70.31005411281414,35.15502705640707,21.567501261599432
0_3,5_2,0.7993115251101451,64.53061531985543,32.265307659927714,19.794667276029273
0_3,5_3,0.9586557021584187,62.47249984137254,31.236249920686273,19.16334350962348
0_3,5_4,27.266895894034032,64.49305646528803,32.24652823264402,19.78314615499633
0_3,5_5,2.4134209423376736,70.24126608296312,35.12063304148156,21.546400638945745
0_4,0_0,0.0,64.36905158606767,32.184525793033835,19.745107848487017
0_4,0_1,0.0,48.27697280652606,24.13848640326303,14.80888736396505
0_4,0_2,26.68557884259139,32.184771311582395,16.092385655791198,9.872629236681716
0_4,0_3,221.09904944037834,16.092447057288837,8.046223528644418,4.936333453156085
0_4,0_5,55.27416261581469,16.0925699036479,8.04628495182395,4.9363711360883125
0_4,1_0,0.0,65.57195283605562,32.78597641802781,20.11409596198025
0_4,1_1,0.0,49.86858217533158,24.93429108766579,15.29711109672748
0_4,1_2,90.42724876724047,34.524947708519356,17.262473854259678,10.590474757214526
0_4,1_3,505.05827522523555,20.37111740132632,10.18555870066316,6.248809018811754
0_4,1_4,1368.0743466347294,12.486735793797102,6.243367896898551,3.830287053311995
0_4,1_5,202.106598303901,20.366450665033685,10.183225332516843,6.247377504611561
0_4,2_0,0.0,69.05504726201555,34.527523631007774,21.182529834974094
0_4,2_1,19.44018395467143,54.36454365030323,27.182271825151616,16.6762403835286
0_4,2_2,169.11364162052467,40.74689568096419,20.373447840482093,12.49904775489699
0_4,2_3,1106.2712551137085,29.715805617464085,14.857902808732042,9.115277796768124
0_4,2_4,2211.5515312535217,24.973470859681274,12.486735429840637,7.660573883337815
0_4,2_5,116.29190986334716,29.702807882146335,14.851403941073167,9.111290761394581
0_4,3_0,1.6948060851886135,74.49919700268194,37.24959850134097,22.852514418000595
0_4,3_1,6.2115457736081305,61.12732898456039,30.5636644922802,18.75071441244184
0_4,3_2,8.74612709647247,49.40518065405645,24.702590327028226,15.154963390814864
0_4,3_3,372.5894440430749,40.781206225499645,20.390603112749822,12.509572461809707
0_4,3_4,407.4924830069401,37.46020446973963,18.730102234869815,11.490860266791298
0_4,3_5,16.683504218144513,40.75983497481161,20.379917487405805,12.503016863439145
0_4,4_0,0.17104235424591446,81.51241146141237,40.756205730706185,25.003807196752263
0_4,4_1,0.0,69.49831317393682,34.74915658696841,21.31850097360025
0_4,4_2,0.40038236022975826,59.4445871050543,29.72229355252715,18.2345359217958
0_4,4_3,11.840175139646902,52.490144556770524,26.245072278385262,16.101271336432678
0_4,4_4,67.626221243682,49.94693589605676,24.97346794802838,15.32114598038551
0_4,4_5,0.0,52.46059649025464,26.23029824512732,16.09220751234805
0_4,5_0,0.0,89.72752032035663,44.863760160178316,27.5237792393732
0_4,5_1,0.0,78.9677080063514,39.4838540031757,24.22322331483172
0_4,5_2,0.15381856692828846,70.27567456240034,35.13783728120017,21.55695538723937
0_4,5_3,0.2563435148807808,64.49305646528803,32.24652823264402,19.78314615499633
0_4,5_4,10.454344434910329,62.43366441071734,31.21683220535867,19.15143080083354
0_4,5_5,1.2859805263823976,64.45546254830853,32.227731274154266,19.771614278622252
0_5,0_0,0.0,80.46162148971601,40.230810744858005,24.681478984575463
0_5,0_1,0.0,64.36954271017399,32.184771355086994,19.74525850005337
0_5,0_2,8.444782900827475,48.27734121522949,24.138670607614745,14.809000372769784
