id,geometric_center,bbox,population,destinations,is_within_target_area,n_outflows,n_inflows,pkm_outflows,pkm_inflows,km_per_capita_outflows,km_per_capita_inflows
2_1,"(38.7061, 8.943791666666668)","POLYGON ((38.7728 8.877616666666668, 38.7728 8.921733333333334, 38.72833333333333 8.921733333333334, 38.72833333333333 8.877616666666668, 38.7728 8.877616666666668))",116701.78,31,True,11670.000000000002,9135.005074750641,153893.55153509974,109305.80543000979,13.187108100694063,11.965598763829204
2_2,"(38.750566666666664, 8.943791666666668)","POLYGON ((38.7728 8.921733333333336, 38.7728 8.965850000000001, 38.72833333333333 8.965850000000001, 38.72833333333333 8.921733333333336, 38.7728 8.921733333333336))",287293.56,81,True,28729.0,33230.438479376506,302642.74724402913,382458.6128836021,10.534398943368343,11.509285774876663
2_3,"(38.795033333333336, 8.943791666666668)","POLYGON ((38.7728 8.965850000000001, 38.7728 9.009966666666667, 38.72833333333333 9.009966666666667, 38.72833333333333 8.965850000000001, 38.7728 8.965850000000001))",561600.06,200,True,56159.99999999999,109827.04515557476,469576.8303085907,1120936.4025209034,8.361410796093141,10.20637859220421
2_4,"(38.8395, 8.943791666666668)","POLYGON ((38.7728 9.009966666666667, 38.7728 9.054083333333333, 38.72833333333333 9.054083333333333, 38.72833333333333 9.009966666666667, 38.7728 9.009966666666667))",956673.25,263,True,95667.0,134685.49256095572,823319.80095733,1289702.6175502038,8.60610033718346,9.575660993826135
2_5,"(38.883966666666666, 8.943791666666668)","POLYGON ((38.7728 9.054083333333335, 38.7728 9.0982, 38.72833333333333 9.0982, 38.72833333333333 9.054083333333335, 38.7728 9.054083333333335))",357102.38,21,True,35709.99999999999,8258.15416555716,375948.2339523921,85910.10498118671,10.527813888333581,10.403063839556033
3_0,"(38.661633333333334, 8.987908333333335)","POLYGON ((38.81726666666667 8.833500000000003, 38.81726666666667 8.877616666666668, 38.7728 8.877616666666668, 38.7728 8.833500000000003, 38.81726666666667 8.833500000000003))",74183.16,16,True,7418.000000000001,2618.076539986101,122951.83315534689,30261.529716420428,16.574795518380544,11.558687935296605
3_1,"(38.7061, 8.987908333333335)","POLYGON ((38.81726666666667 8.877616666666668, 38.81726666666667 8.921733333333334, 38.7728 8.921733333333334, 38.7728 8.877616666666668, 38.81726666666667 8.877616666666668))",66668.734,18,True,6666.0,5630.088723965983,90685.96456353813,61637.96310213069,13.604255110041723,10.947955906938406
3_2,"(38.750566666666664, 8.987908333333335)","POLYGON ((38.81726666666667 8.921733333333336, 38.81726666666667 8.965850000000001, 38.7728 8.965850000000001, 38.7728 8.921733333333336, 38.81726666666667 8.921733333333336))",67098.71,9,True,6708.999999999996,3385.0662743762146,69212.70914873232,40718.57427906496,10.31639724977379,12.028885397987786
3_3,"(38.795033333333336, 8.987908333333335)","POLYGON ((38.81726666666667 8.965850000000001, 38.81726666666667 9.009966666666667, 38.7728 9.009966666666667, 38.7728 8.965850000000001, 38.81726666666667 8.965850000000001))",203226.27,179,True,20321.999999999996,85854.05141514976,178926.47616051175,941137.5248521402,8.804570227365012,10.962063051646128
3_4,"(38.8395, 8.987908333333335)","POLYGON ((38.81726666666667 9.009966666666667, 38.81726666666667 9.054083333333333, 38.7728 9.054083333333333, 38.7728 9.009966666666667, 38.81726666666667 9.009966666666667))",311199.25,146,True,31118.99999999999,78748.11550782998,253784.1526986303,756591.5627897088,8.155279819358924,9.607741822272311
3_5,"(38.883966666666666, 8.987908333333335)","POLYGON ((38.81726666666667 9.054083333333335, 38.81726666666667 9.0982, 38.7728 9.0982, 38.7728 9.054083333333335, 38.81726666666667 9.054083333333335))",52970.156,8,True,5297.0,3028.1414157332474,58242.575621748,33317.24969984275,10.99538901675439,11.002540874325437
4_0,"(38.661633333333334, 9.032025)","POLYGON ((38.86173333333333 8.833500000000003, 38.86173333333333 8.877616666666668, 38.81726666666667 8.877616666666668, 38.81726666666667 8.833500000000003, 38.86173333333333 8.833500000000003))",25680.34,3,False,2568.0000000000005,579.7755214006747,42629.17172511652,5739.740487193355,16.600144752771225,9.899935880919507
4_1,"(38.7061, 9.032025)","POLYGON ((38.86173333333333 8.877616666666668, 38.86173333333333 8.921733333333334, 38.81726666666667 8.921733333333334, 38.81726666666667 8.877616666666668, 38.86173333333333 8.877616666666668))",28926.809,0,True,2892.000000000001,0.0,45744.40985438453,0.0,15.817569105942088,0.0
4_2,"(38.750566666666664, 9.032025)","POLYGON ((38.86173333333333 8.921733333333336, 38.86173333333333 8.965850000000001, 38.81726666666667 8.965850000000001, 38.81726666666667 8.921733333333336, 38.86173333333333 8.921733333333336))",4686.6553,1,True,468.0000000000001,255.31220345131754,6235.403866406852,3536.145237991809,13.323512535057374,13.850278953336732
4_3,"(38.795033333333336, 9.032025)","POLYGON ((38.86173333333333 8.965850000000001, 38.86173333333333 9.009966666666667, 38.81726666666667 9.009966666666667, 38.81726666666667 8.965850000000001, 38.86173333333333 8.965850000000001))",156206.98,16,True,15620.000000000004,5115.151296617603,155566.310102458,63789.23491471554,9.959430864433928,12.47064479928408
4_4,"(38.8395, 9.032025)","POLYGON ((38.86173333333333 9.009966666666667, 38.86173333333333 9.054083333333333, 38.81726666666667 9.054083333333333, 38.81726666666667 9.009966666666667, 38.86173333333333 9.009966666666667))",340940.38,73,True,34093.99999999999,23993.520211162977,341018.0540100135,273953.6206609951,10.002289376723576,11.417816904313117
4_5,"(38.883966666666666, 9.032025)","POLYGON ((38.86173333333333 9.054083333333335, 38.86173333333333 9.0982, 38.81726666666667 9.0982, 38.81726666666667 9.054083333333335, 38.86173333333333 9.054083333333335))",9167.16,0,True,915.9999999999997,0.0,11422.304997454405,0.0,12.469765281063765,0.0
5_0,"(38.661633333333334, 9.076141666666667)","POLYGON ((38.9062 8.833500000000003, 38.9062 8.877616666666668, 38.86173333333333 8.877616666666668, 38.86173333333333 8.833500000000003, 38.9062 8.833500000000003))",3195.3127,0,False,319.0000000000001,0.0,6763.852677778805,0.0,21.203299930341075,0.0
5_1,"(38.7061, 9.076141666666667)","POLYGON ((38.9062 8.877616666666668, 38.9062 8.921733333333334, 38.86173333333333 8.921733333333334, 38.86173333333333 8.877616666666668, 38.9062 8.877616666666668))",936.9922,0,True,93.00000000000001,0.0,1915.2780901625138,0.0,20.594388066263587,0.0
5_2,"(38.750566666666664, 9.076141666666667)","POLYGON ((38.9062 8.921733333333336, 38.9062 8.965850000000001, 38.86173333333333 8.965850000000001, 38.86173333333333 8.921733333333336, 38.9062 8.921733333333336))",6832.2637,1,True,682.9999999999999,141.51268032066517,11957.731178101409,2336.150365623355,17.507659118742914,16.508417198583764
5_3,"(38.795033333333336, 9.076141666666667)","POLYGON ((38.9062 8.965850000000001, 38.9062 9.009966666666667, 38.86173333333333 9.009966666666667, 38.86173333333333 8.965850000000001, 38.9062 8.965850000000001))",33072.61,1,True,3307.0000000000005,207.62292700423373,44925.42287675725,2763.616893660525,13.584947951846763,13.310750086883088
5_4,"(38.8395, 9.076141666666667)","POLYGON ((38.9062 9.009966666666667, 38.9062 9.054083333333333, 38.86173333333333 9.054083333333333, 38.86173333333333 9.009966666666667, 38.9062 9.009966666666667))",122824.984,34,True,12282.0,7596.703917688235,155900.9563850622,88518.42755566548,12.69345028375364,11.652215028357016
5_5,"(38.883966666666666, 9.076141666666667)","POLYGON ((38.9062 9.054083333333335, 38.9062 9.0982, 38.86173333333333 9.0982, 38.86173333333333 9.054083333333335, 38.9062 9.054083333333335))",78021.58,5,False,7802.000000000002,722.12359695299,116557.81214561232,10055.297009257953,14.93947861389545,13.924620455122101
