Time,Charging profile at origin (MW),Number of cars charging at origin,Charging profile at destination (MW),Number of cars charging at destination,Total (MW)
4.5,0.0,0.0,20.517581034063667,2674.0,20.517581034063667
4.6000000000000005,0.0,0.0,22.82303802111085,2972.0,22.82303802111085
4.7,0.0,0.0,25.851880944838644,3367.0,25.851880944838644
4.800000000000001,0.0,0.0,29.128516806318565,3779.0,29.128516806318565
4.9,0.0,0.0,32.47600457709652,4180.0,32.47600457709652
5.0,0.0,0.0,35.88210155880028,4641.0,35.88210155880028
5.1000000000000005,0.0,0.0,38.92708270695906,5067.0,38.92708270695906
5.2,0.0,0.0,42.35039187484569,5513.0,42.35039187484569
5.300000000000001,0.0,0.0,46.90382512455528,6124.0,46.90382512455528
5.4,0.0,0.0,51.74881159679083,6761.0,51.74881159679083
5.5,0.0,0.0,57.67815915458723,7527.0,57.67815915458723
5.6000000000000005,0.0,0.0,63.34721803140662,8272.0,63.34721803140662
5.7,0.0,0.0,69.20724028498468,9101.0,69.20724028498468
5.800000000000001,0.0,0.0,75.08313861472676,9886.0,75.08313861472676
5.9,0.0,0.0,81.5583588049617,10735.0,81.5583588049617
6.0,0.0,0.0,89.44003164126865,11757.0,89.44003164126865
6.1000000000000005,0.0,0.0,97.38466802971007,12794.0,97.38466802971007
6.2,0.0,0.0,105.69082515620592,13905.0,105.69082515620592
6.300000000000001,0.0,0.0,114.48687599675628,15089.0,114.48687599675628
6.4,0.0,0.0,120.85025168703858,16225.0,120.85025168703858
6.5,0.0,0.0,120.88877267535999,17349.0,120.88877267535999
6.6000000000000005,0.0,0.0,120.88302407332283,18683.0,120.88302407332283
6.7,0.0,0.0,120.8831412829,20172.0,120.8831412829
6.800000000000001,0.0,0.0,120.88210300899213,21752.0,120.88210300899213
6.9,0.0,0.0,120.88823734873198,23578.0,120.88823734873198
7.0,0.0,0.0,120.88823734873198,25558.0,120.88823734873198
7.1000000000000005,0.0,0.0,120.88823734873198,27880.0,120.88823734873198
7.2,0.0,0.0,120.88823734873198,30135.0,120.88823734873198
7.300000000000001,0.0,0.0,120.88681495529612,32670.0,120.88681495529612
7.4,0.0,0.0,120.88547289665138,35367.0,120.88547289665138
7.5,0.0,0.0,120.88547289665138,38216.0,120.88547289665138
7.6000000000000005,0.0,0.0,120.88547289665138,41121.0,120.88547289665138
7.7,0.0,0.0,120.88547289665138,44101.0,120.88547289665138
